line_n,section,title
2,S0,"Prefix Items - Not part of EGDS"
201,S1,Introduction
336,S2.a,Overview
424,S2.b,"Key Generation"
615,S2.c,"Ballot Encryption"
723,S2.d,"Verifiable Decryption"
762,S2.e.a,"Independent Verification"
794,S2.e.b,"Independent Verification - Verification of Key Generation"
826,S2.e.c,"Independent Verification - Verification of Ballot Correctness"
852,S2.e.d,"Independent Verification -  Verification of the Election Record"
878,S2.f,"Using this Specification"
900,S3.a.a,Components
996,S3.a.b,"Components - Notation"
1027,S3.a.c,"Components - Encryption of Votes"
1146,S3.a.d,"Components - Homomorphic Properties"
1209,S3.a.e,"Components - Non-Interactive Zero-Knowledge (NIZK) Proofs"
1247,S3.a.f,"Components - Threshold Encryption"
1318,S3.a.g,"Components - Encryption of Other Data"
1423,S3.1,"Parameter Requirements"
1457,S3.1.1,"Standard Baseline Cryptographic Parameters"
1578,S3.1.1.b.n3_1,"Standard Baseline Cryptographic Parameters - Note 3.1"
1604,S3.1.2,"Parameter Base Hash"
1644,S3.1.3.a,"Election Parameters and the Election Manifest"
1720,S3.1.3.b,"Election Parameters and the Election Manifest - Labels"
1887,S3.1.3.c,"Election Parameters and the Election Manifest - Indices"
1909,S3.1.3.d,"Election Parameters and the Election Manifest - Contests and the contest index"
1932,S3.1.3.e,"Election Parameters and the Election Manifest - Selectable options and the option index"
1959,S3.1.3.f,"Election Parameters and the Election Manifest - Ballot styles and the ballot style index"
2015,S3.1.3.g,"Election Parameters and the Election Manifest - Selections, option selection limits, and contest selection limits"
2081,S3.1.3.h,"Election Parameters and the Election Manifest - Accompanying data fields"
2172,S3.1.3.i,"Election Parameters and the Election Manifest - Undervotes"
2191,S3.1.3.j,"Election Parameters and the Election Manifest - Counting undervoted contests"
2240,S3.1.3.k,"Election Parameters and the Election Manifest - Undervote difference count"
2275,S3.1.3.l,"Election Parameters and the Election Manifest - Overvotes"
2337,S3.1.3.m,"Election Parameters and the Election Manifest - Null votes"
2380,S3.1.3.n,"Election Parameters and the Election Manifest - Write-ins total"
2473,S3.1.3.o,"Election Parameters and the Election Manifest - The data in the election manifest"
2499,S3.1.4.a,"Election Base Hash"
2530,S3.1.4.b.verif1,"Election Base Hash - Verification 1 (Parameter validation)"
2552,S3.2.a,"Key Generation"
2600,S3.2.b.n3_2,"Key Generation - Note 3.2"
2619,S3.2.c,"Key Generation - (after Note 3.2)"
2744,S3.2.1,"Overview of Key Generation"
2879,S3.2.2,"Details of Key Generation"
2895,S3.2.2.a,"Details of Key Generation - Guardian coefficients and key pair for vote encryption"
2946,S3.2.2.b,"Details of Key Generation - Guardian coefficients and key pair for encrypting other ballot data"
2980,S3.2.2.c,"Details of Key Generation - Additional key pair for sharing secret data between guardians"
3022,S3.2.2.d,"Details of Key Generation - NIZK proof"
3063,S3.2.2.e,"Details of Key Generation - NIZK proof"
3106,S3.2.2.f.verif2,"Details of Key Generation - Verification 2 (Guardian public-key validation)"
3128,S3.2.2.g,"Details of Key Generation - text after Verification 2"
3158,S3.2.2.h.n3_3,"Details of Key Generation - Note 3.3"
3176,S3.2.2.i,"Details of Key Generation - Share encryption"
3263,S3.2.2.j,"Details of Key Generation - Share decryption"
3296,S3.2.2.k,"Details of Key Generation - Secret key share computation"
3329,S3.2.2.l,"Details of Key Generation - Vote encryption public key computation"
3362,S3.2.2.m,"Details of Key Generation - Ballot data encryption public key computation"
3396,S3.2.2.n.verif3,"Details of Key Generation - Verification 3 (Election public-key validation)"
3418,S3.2.2.o,"Details of Key Generation - Share verification and the guardian record"
3535,S3.2.3.a,"Extended Base Hash"
3565,S3.2.3.b.verif4,"Verification 4 Extended base hash validation"
3587,S3.3,"Ballot Encryption"
3632,S3.3.1,"Selection Encryption"
3679,S3.3.2.a,"(new in v2.1.0) Selection Encryption Identifiers and Identifier Hash"
3713,S3.3.2.b.verif5,"(new in v2.1.0) Selection Encryption Identifiers and Identifier Hash - Verification 5 (Uniqueness of selection encryption identifiers)"
3735,S3.3.3,"(was 3.3.2 in v2.0.0) Generation of the Ballot Nonce and Encryption Nonces"
3769,S3.3.4,"(new in v2.1.0) Encryption of Ballot Nonces"
3872,S3.3.5.a,"(was 3.3.3 in v2.0.0) Ballot Well-Formedness"
3890,S3.3.5.b,"(was 3.3.3 in v2.0.0) Ballot Well-Formedness - Contest and option selection limits"
3912,S3.3.5.c,"(was 3.3.3 in v2.0.0) Ballot Well-Formedness - Undervotes"
3947,S3.3.5.d,"(was 3.3.3 in v2.0.0) Ballot Well-Formedness - Overvotes"
3985,S3.3.5.e,"(was 3.3.3 in v2.0.0) Ballot Well-Formedness - Ballot well-formedness"
4020,S3.3.5.f,"(was 3.3.3 in v2.0.0) Ballot Well-Formedness - Cardinal voting methods"
4068,S3.3.6.a,"(was 3.3.4 in v2.0.0) Outline for Proofs of Ballot Correctness"
4087,S3.3.6.b,"(was 3.3.4 in v2.0.0) NIZK proof that $(\alpha,\beta)$ is an encryption of zero."
4107,S3.3.6.c,"(was 3.3.4 in v2.0.0) NIZK proof that $(\alpha,\beta)$ is an encryption of one."
4128,S3.3.6.d,"(was 3.3.4 in v2.0.0) Sketch of NIZK proof that $(\alpha,\beta)$ is an encryption of zero or one."
4150,S3.3.6.e,"(was 3.3.4 in v2.0.0) Sketch of NIZK proof that $(\alpha,\beta)$ is an encryption of an integer $\ell$ such that $0\leq \ell \leq R$."
